,Experiment_name,benchmark,conf_effective_cache_size,conf_effective_io_concurrency,conf_maintenance_work_mem,conf_max_parallel_workers,conf_parallel_setup_cost,conf_random_page_cost,conf_seq_page_cost,conf_temp_buffers,conf_work_mem,iteration,queryTime_1,queryTime_10,queryTime_11,queryTime_12,queryTime_13,queryTime_14,queryTime_15,queryTime_16,queryTime_17_rewritten,queryTime_19,queryTime_2,queryTime_20_rewritten,queryTime_22,queryTime_3,queryTime_4,queryTime_5,queryTime_6,queryTime_7,queryTime_8,queryTime_9,queryTime_Total,scale_factor,timestamp
0,k8sCluster_10g_100_3,tpch,4GB,1.0,64MB,8.0,,4.0,1.0,8MB,4MB,0.0,47.07329869270325,15.096906185150145,3.056227207183838,13.239707946777346,14.210546731948853,7.946491718292236,17.35898470878601,9.91374158859253,42.394122123718255,10.29109811782837,9.273054838180544,8.283596515655518,4.609302997589111,17.413038730621338,15.464996576309204,17.25009036064148,8.946419715881348,12.779011726379395,15.159291982650757,24.866710901260376,314.62663936614985,10.0,1567818145.0
1,k8sCluster_10g_100_3,tpch,4GB,1.0,64MB,8.0,,4.0,1.0,8MB,4MB,1.0,45.7931158542633,15.05958890914917,3.1627898216247563,14.222540378570555,13.057938814163208,7.664911985397339,18.118940353393555,10.72720193862915,25.670032739639282,11.093118906021118,9.44125270843506,8.474434614181519,4.587673902511597,17.249569177627563,16.562451362609867,16.152408361434937,8.590673685073853,12.09308409690857,14.493886947631836,24.851893663406372,297.0675082206726,10.0,1567819221.0
2,k8sCluster_10g_100_3,tpch,4GB,1.0,64MB,8.0,,4.0,1.0,8MB,4MB,2.0,45.28125762939453,16.626914501190186,3.0983126163482666,14.058919906616213,13.60985016822815,8.123217821121216,17.563804864883426,9.522958278656006,24.64287781715393,10.294677257537842,8.829230308532715,8.303211212158201,4.4164557456970215,16.782400608062744,20.257328271865845,15.185630321502686,7.809573650360107,14.019034385681152,15.276936054229735,24.312683582305908,298.0152750015259,10.0,1567820298.0
3,k8sCluster_10g_100_3,tpch,4GB,1.0,64MB,8.0,,4.0,1.0,8MB,4MB,3.0,45.900229930877686,15.510825395584106,3.1404473781585693,14.812837839126587,14.867567777633667,7.574052095413207,18.58399271965027,10.02070450782776,25.41662621498108,10.313273429870604,9.189327716827393,8.283019542694094,4.69814395904541,16.853127002716064,15.555537462234495,15.980820894241333,7.837344408035277,12.828623056411743,15.128535509109495,22.973989486694336,295.4690263271332,10.0,1567821376.0
4,k8sCluster_10g_100_3,tpch,4GB,1.0,64MB,8.0,,4.0,1.0,8MB,4MB,4.0,45.50020217895508,15.218914031982422,2.9968154430389404,16.216233491897587,13.664274215698242,8.607515335083008,17.051743030548096,9.882196187973024,25.3660740852356,10.777358770370483,9.133505105972288,8.368676424026491,4.735867261886597,19.239403009414676,15.095906257629395,18.980772972106934,8.116662263870241,12.130202531814575,15.575951099395752,24.345006942749023,301.00328063964844,10.0,1567822447.0
5,k8sCluster_10g_100_3,tpch,4GB,1.0,64MB,8.0,,4.0,1.0,8MB,4MB,5.0,47.575941801071174,15.126492738723755,3.039160966873169,14.596238851547241,14.243976831436155,7.860930919647218,16.873398542404175,10.80525255203247,24.05772876739502,10.476235628128054,9.23366713523865,8.557907104492188,4.526703596115112,17.370848894119266,16.0050048828125,15.931898832321167,8.081691980361937,12.992498636245728,11.7160062789917,24.079004526138306,293.1505894660949,10.0,1567823520.0
6,k8sCluster_10g_100_3,tpch,8GB,194.0,2200MB,5.0,,4.0,2.0,868MB,3139MB,6.0,45.36992335319519,12.942339658737184,3.2314975261688232,11.611268043518065,26.339629650115967,8.210834741592407,16.2889564037323,8.542123317718506,25.87461352348328,10.357261657714844,5.477072477340698,8.363615989685059,4.784091234207153,13.92218780517578,17.541321277618408,11.68563175201416,7.708798408508301,11.89013409614563,10.82890009880066,22.341740131378174,283.31194114685064,10.0,1567824543.0
7,k8sCluster_10g_100_3,tpch,8GB,194.0,2200MB,5.0,,4.0,2.0,868MB,3139MB,7.0,45.215811967849724,12.324921369552612,3.321997880935669,11.617093086242676,25.27703309059143,8.604719161987305,18.479501485824585,8.311686038970947,25.21176695823669,10.436064481735231,5.561956882476807,8.59640645980835,4.459932327270508,12.855344533920288,16.62282681465149,11.732944011688232,7.228074312210082,11.93331527709961,13.991415977478027,22.977766036987305,284.76057815551763,10.0,1567825561.0
8,k8sCluster_10g_100_3,tpch,8GB,194.0,2200MB,5.0,,4.0,2.0,868MB,3139MB,8.0,46.09558987617493,12.986297607421875,3.3977508544921875,10.995958805084227,25.39935803413391,8.065218687057495,17.419436931610107,8.416463375091553,24.98719358444214,11.119499921798706,5.505198955535889,8.713219881057741,4.401078462600708,12.202744483947756,16.075772523880005,12.932682037353516,7.707170009613037,11.61723780632019,10.72529435157776,23.89323854446411,282.6564047336578,10.0,1567826627.0
9,k8sCluster_10g_100_3,tpch,3GB,157.0,7178MB,8.0,,2.0,10.0,167MB,2621MB,9.0,46.255530834198,12.788238763809204,4.024329900741576,11.292715311050415,26.04447317123413,11.35375714302063,18.75331807136536,9.231134414672852,25.51476812362671,10.334507226943972,7.579472541809082,8.346349954605103,4.782017230987549,14.541510820388794,322.195613861084,11.944003105163574,8.156916856765747,13.588178634643555,15.609191417694092,19.826499223709106,602.1625266075133,10.0,1567827990.0
10,k8sCluster_10g_100_3,tpch,3GB,157.0,7178MB,8.0,,2.0,10.0,167MB,2621MB,10.0,45.357951164245605,13.142426490783693,4.263652801513672,11.937949180603027,26.597623348236084,12.032798051834106,17.297926664352413,9.360996723175047,26.276939392089844,10.57567548751831,7.497027635574341,61.22737693786621,4.898566246032715,12.88351845741272,315.87516856193537,12.538801670074465,7.62504768371582,13.897041082382202,15.610450267791748,22.586123704910282,651.4830615520477,10.0,1567829427.0
11,k8sCluster_10g_100_3,tpch,3GB,157.0,7178MB,8.0,,2.0,10.0,167MB,2621MB,11.0,47.08660745620728,13.921840906143188,4.228184223175049,10.784698963165283,27.25296998023987,11.85064148902893,17.740404844284058,8.925642967224121,24.211026430130005,10.235040426254274,7.41082239151001,60.24904227256775,4.7923736572265625,13.463018894195555,328.0012748241425,11.90619659423828,7.686589002609253,13.29816746711731,14.45571494102478,20.61391806602478,658.1141757965087,10.0,1567830860.0
12,k8sCluster_10g_100_3,tpch,7GB,216.0,6234MB,6.0,,13.0,3.0,267MB,3305MB,12.0,46.735302686691284,13.151633739471436,3.3891561031341557,13.455150127410887,26.074198246002197,7.760305643081665,16.182594537734985,8.556083679199219,24.75036764144897,10.045100450515749,5.421652555465698,8.434239149093628,4.741879224777222,12.789417028427124,16.826210975646973,13.018560409545898,8.197303056716919,11.800988912582396,10.161448955535887,22.92295956611633,284.41455268859863,10.0,1567831886.0
13,k8sCluster_10g_100_3,tpch,7GB,216.0,6234MB,6.0,,13.0,3.0,267MB,3305MB,13.0,47.923850536346436,12.354652166366575,3.407860279083252,14.184709548950195,25.76547360420227,8.289192914962769,17.68522548675537,8.608063220977781,25.2586522102356,10.62502908706665,6.336613655090332,8.287491321563719,4.4858949184417725,12.442477226257324,16.058841705322266,11.216043710708618,7.790558099746704,11.788862466812134,10.304022312164307,21.52370262145996,284.3372170925141,10.0,1567832924.0
14,k8sCluster_10g_100_3,tpch,7GB,216.0,6234MB,6.0,,13.0,3.0,267MB,3305MB,14.0,45.18533563613892,13.277374744415285,3.4174249172210693,13.399306058883667,25.03621077537537,9.322215318679811,18.08808207511902,8.252219676971437,22.723975419998172,9.967796564102171,6.155486345291138,7.856366634368896,4.498664379119873,12.98439621925354,17.788802623748783,12.133339405059814,8.336859941482544,10.674473047256472,10.13011598587036,21.519960165023804,280.74840593338007,10.0,1567833954.0
15,k8sCluster_10g_100_3,tpch,7GB,220.0,7399MB,1.0,,4.0,1.0,531MB,2104MB,15.0,66.70061945915222,18.046034336090084,4.216900825500488,19.517736434936523,25.30466270446777,11.744349479675293,35.00115466117859,9.127907276153564,26.80489492416382,14.531656742095947,5.623590469360352,11.592351198196411,10.424575328826904,18.370795249938965,24.2930326461792,17.13909888267517,11.212735414505005,17.288415431976322,15.132420778274536,36.15626287460327,398.2291951179504,10.0,1567835175.0
16,k8sCluster_10g_100_3,tpch,7GB,220.0,7399MB,1.0,,4.0,1.0,531MB,2104MB,16.0,66.69965076446533,17.712275981903073,4.383296251296997,19.683257341384888,25.32706570625305,11.4240243434906,35.52960538864136,9.291055440902712,28.1669499874115,14.850461959838867,5.685177326202393,11.526530981063845,10.168850898742676,17.701416730880734,22.759912967681885,17.179368019104007,11.08367919921875,16.45422863960266,15.302175760269165,32.03078436851501,392.9597680568695,10.0,1567836412.0
17,k8sCluster_10g_100_3,tpch,7GB,220.0,7399MB,1.0,,4.0,1.0,531MB,2104MB,17.0,68.15321040153503,17.884925603866574,4.363243103027344,19.132610321044922,26.298625230789185,12.127718210220337,33.981519937515266,9.56255292892456,28.69103026390076,14.190319538116455,6.039034843444824,12.13846755027771,9.943145513534548,17.34664535522461,23.288853406906128,17.024898529052734,11.962627410888672,16.715442180633545,14.710605144500732,32.636964321136475,396.1924397945404,10.0,1567837622.0
18,k8sCluster_10g_100_3,tpch,7GB,46.0,3947MB,5.0,,14.0,7.0,839MB,3338MB,18.0,47.73772931098938,12.85524582862854,3.0630054473876958,10.269129276275637,24.792296648025516,7.9638235569000235,16.316394329071045,7.993466138839723,24.57042050361633,10.512285709381104,5.527200937271118,8.364269495010376,4.681624412536621,12.452360391616821,15.565907716751099,11.6245698928833,8.808919906616211,10.796199321746826,14.258456945419312,22.23226475715637,280.38557052612305,10.0,1567838729.0
19,k8sCluster_10g_100_3,tpch,7GB,46.0,3947MB,5.0,,14.0,7.0,839MB,3338MB,19.0,47.641658544540405,13.494488716125488,3.2008814811706543,11.501564979553224,24.98949360847473,8.465126037597656,16.56371259689331,8.245750904083254,23.32706570625305,10.977766513824463,6.192391633987428,8.260792970657349,4.763365268707275,13.473716497421265,16.353280067443848,12.139835119247437,8.162344694137571,11.51777458190918,11.461410522460938,23.49230551719665,284.2247259616852,10.0,1567839745.0
20,k8sCluster_10g_100_3,tpch,7GB,46.0,3947MB,5.0,,14.0,7.0,839MB,3338MB,20.0,46.263747215270996,13.321886777877808,3.1764032840728764,11.505556106567385,25.63617849349976,7.935786962509155,17.380528450012207,8.444677114486693,23.870476484298703,9.873974800109863,5.8557305335998535,8.414829015731813,4.607112407684326,13.530311107635498,16.964459419250492,11.757714748382568,8.284005403518679,11.796557903289795,11.073873519897461,22.29307270050049,281.98688244819635,10.0,1567840827.0
21,k8sCluster_10g_100_3,tpch,2GB,136.0,2468MB,2.0,,1.0,1.0,215MB,3849MB,21.0,46.22281670570374,12.899258136749268,3.382643699645996,11.601967096328735,25.604177713394165,8.631593465805054,31.07356977462769,8.464878082275389,26.40145969390869,10.149338006973268,5.640231132507324,8.63823938369751,9.815911293029783,14.282390594482422,16.000786066055298,11.731358766555786,8.008861541748049,10.373272180557253,10.565574645996094,21.481955766677856,300.97028374671936,10.0,1567841910.0
22,k8sCluster_10g_100_3,tpch,2GB,136.0,2468MB,2.0,,1.0,1.0,215MB,3849MB,22.0,49.49822783470154,13.888965845108032,3.220327138900757,11.006907939910887,25.091769695281982,8.475109577178955,31.72963523864746,8.394195795059204,25.721052646636963,10.606191873550417,5.462235450744629,8.328445196151732,9.992045164108275,14.493469953536987,16.431512832641598,12.327897548675535,7.868514060974121,11.224501371383667,14.768203258514404,21.485602617263797,310.01481103897095,10.0,1567843065.0
23,k8sCluster_10g_100_3,tpch,2GB,136.0,2468MB,2.0,,1.0,1.0,215MB,3849MB,23.0,45.575785636901855,13.043535470962524,3.3816781044006348,10.642630577087402,25.48775362968445,8.51287055015564,30.11930894851685,7.991667747497559,25.792627811431885,10.018704175949095,5.389999151229858,7.897743463516235,10.940469980239868,13.281390190124512,16.940427541732788,11.646465539932251,7.86104941368103,11.691765308380127,10.838964700698853,24.451906204223636,301.50674414634705,10.0,1567844097.0
24,k8sCluster_10g_100_3,tpch,6GB,216.0,7598MB,3.0,,16.0,10.0,581MB,668MB,24.0,47.27241897583008,12.78555417060852,3.5685839653015137,12.247863531112671,25.48867225646973,8.487474679946901,21.248772859573364,8.731948614120482,25.052358150482178,11.232437133789062,5.584321022033691,8.537338495254518,5.667903661727905,12.72775387763977,16.538535118103027,12.347623825073242,8.174607992172241,12.362629175186155,9.653090476989746,26.074004888534546,293.7838928699493,10.0,1567845121.0
25,k8sCluster_10g_100_3,tpch,6GB,216.0,7598MB,3.0,,16.0,10.0,581MB,668MB,25.0,44.95154857635498,12.66245174407959,3.6450448036193848,11.268225908279419,26.73975443840027,8.015873670578003,20.386128664016727,8.635522842407228,25.623162031173703,10.397749900817873,5.712873935699463,8.310542821884155,6.148895740509032,12.888867139816284,16.369839668273926,12.443183422088625,7.749058485031128,12.317710876464846,11.04197597503662,22.448312520980835,287.75672316551214,10.0,1567846224.0
26,k8sCluster_10g_100_3,tpch,6GB,216.0,7598MB,3.0,,16.0,10.0,581MB,668MB,26.0,45.46373176574707,11.99013090133667,3.691675901412964,10.509002923965452,25.054907083511356,8.093287229537964,21.517862558364868,8.078628301620482,25.29441523551941,10.068180322647097,5.931400775909424,8.890547513961794,6.2638490200042725,11.53196120262146,17.037791728973392,12.505306959152222,8.119772911071777,12.105520486831665,10.947124481201172,22.80391049385071,285.89900779724115,10.0,1567847294.0
27,k8sCluster_10g_100_3,tpch,7GB,127.0,593MB,2.0,,5.0,4.0,734MB,157MB,27.0,48.61318969726562,12.9743390083313,3.350453615188598,11.072962045669556,25.76326894760132,7.721658229827881,30.178630590438843,8.26417088508606,26.484943389892575,10.394383668899538,6.969128608703612,8.729147911071777,11.185319423675537,11.997015237808228,18.07884430885315,12.489266633987427,8.470575094223022,11.56270170211792,10.545198678970335,22.53085732460022,307.37605500221247,10.0,1567848374.0
28,k8sCluster_10g_100_3,tpch,7GB,127.0,593MB,2.0,,5.0,4.0,734MB,157MB,28.0,46.49505639076233,13.971099138259888,3.263067960739136,11.098658323287964,26.06964349746704,7.425161361694336,31.54328441619873,8.509527683258058,25.75434756278992,10.291330814361572,6.977762222290039,8.543274879455566,11.717417240142822,12.268289804458618,17.110946655273438,12.130510330200195,8.15892219543457,11.400865316390991,10.631216049194336,24.09901738166809,307.45939922332764,10.0,1567849469.0
29,k8sCluster_10g_100_3,tpch,7GB,127.0,593MB,2.0,,5.0,4.0,734MB,157MB,29.0,48.276729106903076,13.184709072113035,3.3881864547729488,11.153268337249756,26.30563521385193,8.48465371131897,30.24176573753357,8.251288175582888,24.6240918636322,10.479266166687012,6.927757978439331,8.704180240631104,11.903924703598022,12.550485134124756,21.52245283126831,11.3606116771698,9.121505975723268,12.073980569839478,11.111457586288452,23.5531964302063,313.2191469669342,10.0,1567850533.0
30,k8sCluster_10g_100_3,tpch,6GB,53.0,7162MB,5.0,,14.0,7.0,107MB,3707MB,30.0,45.61760902404785,12.621542692184448,3.1821839809417725,10.418078660964968,25.31545162200928,8.017643213272095,17.96877884864807,8.47974157333374,25.864123106002808,10.438700914382936,5.4804632663726816,8.528537750244139,4.3226516246795645,12.43498420715332,17.479451179504395,12.091298818588257,9.253593683242796,12.313743352890015,14.616058111190796,21.791948556900024,286.236584186554,10.0,1567851600.0
31,k8sCluster_10g_100_3,tpch,6GB,53.0,7162MB,5.0,,14.0,7.0,107MB,3707MB,31.0,48.540594577789314,13.832902908325195,2.98396372795105,11.000170707702637,25.325165271759033,8.304702281951903,16.21314811706543,8.452576398849487,26.21836304664612,10.21034860610962,5.640673875808716,8.780108690261839,4.389446258544922,13.085918664932251,16.714479207992554,12.016844272613525,9.143096923828123,11.940850734710693,10.546834468841553,25.141566514968872,288.4817552566528,10.0,1567852663.0
32,k8sCluster_10g_100_3,tpch,6GB,53.0,7162MB,5.0,,14.0,7.0,107MB,3707MB,32.0,46.20183563232422,12.925554275512695,3.099681854248047,11.027799367904663,26.131502628326416,8.339442491531372,17.771925449371334,8.454160928726196,24.19577097892761,11.303537368774414,5.592911720275879,8.51089334487915,4.480672836303711,12.06009316444397,17.778030395507812,10.882173299789429,8.289834499359129,11.20573353767395,10.833014726638794,23.40691328048706,282.4914817810058,10.0,1567853740.0
33,k8sCluster_10g_100_3,tpch,7GB,174.0,7024MB,7.0,,10.0,1.0,983MB,3216MB,33.0,45.686408519744866,13.281374216079712,3.45620346069336,13.318351745605467,25.25771999359131,8.494072437286379,16.246752977371216,8.629308223724365,24.849830389022827,9.66077184677124,5.850745439529419,8.558678150177004,4.2706334590911865,13.24724006652832,16.69522762298584,12.616057872772215,8.207207441329956,11.862497091293335,10.824440956115724,22.803115606307983,283.8166375160218,10.0,1567854865.0
34,k8sCluster_10g_100_3,tpch,7GB,174.0,7024MB,7.0,,10.0,1.0,983MB,3216MB,34.0,45.61710500717163,13.154685974121096,3.3422577381134038,14.012985944747925,25.21470928192139,8.569407939910889,17.331169843673706,8.625711441040039,25.07963752746582,10.486040592193604,5.393261909484863,8.4833824634552,4.508179903030396,11.79125714302063,16.86111068725586,12.593900203704836,8.066383123397827,12.800748586654663,14.944479703903198,24.522826671600342,291.3992416858673,10.0,1567855934.0
