,benchmark,conf_effective_cache_size,conf_effective_io_concurrency,conf_maintenance_work_mem,conf_max_parallel_workers,conf_random_page_cost,conf_seq_page_cost,conf_temp_buffers,conf_work_mem,queryTime_1,queryTime_10,queryTime_11,queryTime_12,queryTime_13,queryTime_14,queryTime_15,queryTime_16,queryTime_17_rewritten,queryTime_19,queryTime_2,queryTime_20_rewritten,queryTime_22,queryTime_3,queryTime_4,queryTime_5,queryTime_6,queryTime_7,queryTime_8,queryTime_9,queryTime_Total,scale_factor,timestamp
0,tpch,8GB,194.0,2200MB,5.0,4.0,2.0,785MB,3191MB,60.368815660476685,13.930648803710938,3.7774252891540527,10.426635980606079,18.459070205688477,10.719547271728516,22.549011945724487,9.16997504234314,16.518627643585205,10.662737131118774,5.07621955871582,9.518557071685791,4.954670667648315,13.293116807937622,23.68665909767151,10.60114049911499,7.455723762512207,9.786246299743652,16.742428302764893,21.79854989051819,299.49580693244934,10.0,1560091999
1,tpch,3GB,135.0,136MB,6.0,15.0,1.0,216MB,1774MB,57.53636860847473,15.309175968170166,3.228764533996582,12.769934892654419,17.539461135864258,10.386480331420898,15.689026355743408,7.038422107696533,15.213779211044312,10.186818361282349,5.105537414550781,8.593205451965332,3.842461347579956,15.033968448638916,14.145695686340332,10.126102447509766,7.202764272689819,10.508213520050049,9.7685866355896,20.016011953353882,269.2407786846161,10.0,1560101909
2,tpch,4GB,242.0,3345MB,3.0,2.0,6.0,344MB,3233MB,57.5392792224884,14.328840255737305,3.051828622817993,10.081002235412598,17.96580195426941,11.191370487213135,16.86397624015808,9.867698192596436,15.168261289596558,10.074040412902832,6.954871416091919,7.321171283721924,4.39259147644043,9.909221887588501,19.647745370864868,13.071262836456299,7.1281418800354,10.238099813461304,11.416597604751587,18.983371257781982,275.19517374038696,10.0,1560099465
3,tpch,4GB,109.0,7619MB,7.0,6.0,6.0,42MB,1642MB,58.9561231136322,10.75326156616211,3.7361536026000977,9.675644159317017,21.4677517414093,10.531816959381104,15.143656492233276,9.237356424331665,15.258026123046875,10.493232011795044,5.107693910598755,8.1092050075531,3.7596452236175537,15.843792915344238,21.558281183242798,10.107070684432983,7.761961460113525,10.22156286239624,9.179131984710693,20.464019775390625,277.3653872013092,10.0,1560103470
4,tpch,4GB,1.0,64MB,8.0,4.0,1.0,8MB,4MB,61.13420248031616,18.242239236831665,4.068924188613892,16.90256118774414,16.773024320602417,14.687095403671265,27.639605283737183,9.762362718582153,29.38632559776306,10.091761827468872,7.597040414810181,16.40096092224121,4.6734459400177,23.27753496170044,22.474790811538696,21.207863569259644,7.406761169433594,16.605604887008667,13.096924543380737,36.52445721626282,377.9534866809845,10.0,1560091140
5,tpch,5GB,51.0,7417MB,5.0,14.0,9.0,243MB,1815MB,58.40159893035889,12.89488434791565,3.6225385665893555,9.975128173828125,19.04767632484436,10.67020034790039,15.315002679824829,8.805269718170166,14.429746627807617,9.73000454902649,5.100148677825928,7.977611303329468,3.6607935428619385,14.408089637756348,14.87260913848877,10.963433980941772,7.438030242919922,10.941672801971436,9.253955364227295,22.189460039138794,269.69785499572754,10.0,1560109730
6,tpch,8GB,241.0,7833MB,8.0,12.0,12.0,492MB,3690MB,59.30616736412048,11.111584901809692,3.193782091140747,10.120308876037598,18.73153281211853,12.843015432357788,16.810729265213013,9.041409254074097,16.35757064819336,9.911311388015747,4.9049694538116455,8.732175827026367,4.708153009414673,10.174944639205933,19.901710271835327,10.325438976287842,6.953609466552734,10.331430673599243,16.24802327156067,22.480844736099243,282.18871235847473,10.0,1560093195
7,tpch,1GB,236.0,1171MB,1.0,5.0,7.0,268MB,3104MB,61.560407638549805,13.009846210479736,4.502033233642578,10.225102424621582,21.965663194656372,10.968289375305176,21.763055562973022,8.558889150619507,15.095539331436157,10.333415269851685,4.954138278961182,8.213897943496704,7.031112909317017,14.046902656555176,17.6117684841156,11.312004327774048,8.174241304397583,11.256751537322998,8.93700885772705,23.674424171447754,293.19449186325073,10.0,1560104195
8,tpch,8GB,142.0,115MB,6.0,14.0,13.0,561MB,460MB,57.367066621780396,10.650647640228271,3.868338108062744,9.672125577926636,21.827025413513184,12.344247102737427,16.7682843208313,6.679054498672485,15.362873792648315,10.290196895599365,4.823519229888916,8.0096275806427,3.919642448425293,9.91284966468811,21.60362720489502,9.650765180587769,7.268512725830078,10.211966753005981,11.269537448883057,22.91855216026306,274.4184603691101,10.0,1560106955
9,tpch,4GB,1.0,64MB,8.0,4.0,1.0,8MB,4MB,60.65444326400757,20.131788969039917,4.423682451248169,15.919610738754272,14.882070779800415,14.21877384185791,25.660295963287354,11.046830177307129,29.248234510421753,10.972187519073486,7.7440714836120605,13.580183744430542,6.6558990478515625,25.51074194908142,28.782602548599243,18.836668491363525,7.615766525268555,16.500718593597412,12.594787120819092,34.45561146736145,379.43496918678284,10.0,1560091606
