id,benchmark,conf_effective_cache_size,conf_effective_io_concurrency,conf_maintenance_work_mem,conf_max_parallel_workers,conf_random_page_cost,conf_seq_page_cost,conf_temp_buffers,conf_work_mem,queryTime_1,queryTime_10,queryTime_11,queryTime_12,queryTime_13,queryTime_14,queryTime_15,queryTime_16,queryTime_17_rewritten,queryTime_19,queryTime_2,queryTime_20_rewritten,queryTime_22,queryTime_3,queryTime_4,queryTime_5,queryTime_6,queryTime_7,queryTime_8,queryTime_9,queryTime_Total,scale_factor,timestamp
0,tpch,2GB,180.0,2367MB,1.0,12.0,10.0,594MB,60MB,163.05687975883484,47.94731378555298,11.949029922485352,46.072439193725586,36.76184964179993,33.4971604347229,79.73321032524109,26.178080081939697,72.67617845535278,43.27894568443298,14.031165838241577,37.574246644973755,18.955175638198853,62.842445373535156,95.27986216545105,42.82765030860901,36.385014295578,48.3480339050293,47.222017765045166,73.48088550567627,1038.0975847244263,30.json,1560192581
1,tpch,3GB,182.0,5645MB,4.0,5.0,2.0,509MB,3800MB,149.8144989013672,47.204610109329224,8.378705263137817,51.17382884025574,51.45846176147461,33.00895166397095,78.10759472846985,24.99658203125,72.35987377166748,41.78511190414429,13.550209999084473,36.56817269325256,10.052939176559448,44.28402042388916,25.4383704662323,44.39826989173889,34.93878483772278,44.9238383769989,47.0718138217926,62.53985595703125,922.0544946193695,30.json,1560207727
2,tpch,4GB,1.0,64MB,8.0,4.0,1.0,8MB,4MB,148.22495770454407,59.63160586357117,9.908780813217163,60.15564680099487,40.314295053482056,34.29794692993164,74.51834750175476,28.208722591400146,120.54031896591187,40.305346965789795,19.895315170288086,36.95425868034363,10.727459192276001,65.08029961585999,71.73089027404785,65.2325177192688,34.92842388153076,56.95094585418701,45.88080024719238,154.0870270729065,1177.5739068984985,30.json,1560177668
3,tpch,1GB,232.0,1742MB,3.0,12.0,2.0,528MB,929MB,148.98287630081177,45.201138734817505,9.806906700134277,51.60506057739258,51.84434747695923,32.811845541000366,73.12791681289673,21.757059335708618,71.2821934223175,41.46674466133118,20.099867343902588,35.93018651008606,11.389849185943604,42.15946698188782,57.46552109718323,44.26708722114563,35.2613160610199,44.51014709472656,44.83686447143555,61.98038458824158,945.7867801189423,30.json,1560190259
4,tpch,8GB,45.0,7855MB,3.0,13.0,1.0,309MB,2791MB,166.80187892913818,52.12152695655823,9.028926134109497,55.376420974731445,51.93095541000366,33.57410764694214,81.25209975242615,25.304975748062134,81.5842456817627,44.33706617355347,13.642954587936401,41.37672829627991,11.691456079483032,45.66738224029541,27.30952215194702,46.793967485427856,40.1196346282959,45.93253231048584,50.54586839675903,70.52025508880615,994.9125046730042,30.json,1560195917
5,tpch,7GB,161.0,600MB,6.0,14.0,11.0,286MB,3877MB,149.85241985321045,45.79226732254028,7.688784837722778,41.40487360954285,51.1659140586853,32.78454804420471,73.86632466316223,21.563300609588623,71.92361688613892,41.12931180000305,13.575582504272461,36.378817081451416,10.13458776473999,41.97435283660889,24.180781364440918,43.73439383506775,35.192527294158936,43.51938223838806,44.772929191589355,66.9215362071991,897.5562520027161,30.json,1560183903
6,tpch,4GB,195.0,5422MB,1.0,2.0,2.0,118MB,1570MB,164.4868450164795,46.83496952056885,9.16145658493042,43.155256271362305,53.909019231796265,34.86756944656372,81.75207853317261,22.178457498550415,72.19073843955994,42.881255865097046,13.844496011734009,37.71539378166199,18.045732975006104,45.094072103500366,26.280246257781982,46.16455888748169,36.28979563713074,46.61491799354553,52.82038497924805,70.52345943450928,964.8107044696808,30.json,1560191388
7,tpch,8GB,96.0,5072MB,2.0,12.0,1.0,346MB,2823MB,148.88123631477356,45.14213252067566,8.04327392578125,50.182823181152344,50.05999779701233,32.599366188049316,81.2223150730133,22.81939148902893,72.05663967132568,41.82832407951355,13.29934549331665,36.14787316322327,18.628764867782593,43.24702548980713,25.40636420249939,43.72668099403381,35.393850564956665,44.18531942367554,45.21475696563721,62.559298515319824,920.644779920578,30.json,1560193666
8,tpch,8GB,194.0,2200MB,5.0,4.0,2.0,785MB,3191MB,148.40562677383423,44.82532978057861,8.016119003295898,48.220802545547485,51.27995157241821,32.30004048347473,73.49104523658752,22.843347787857056,72.51026225090027,40.904985666275024,13.328285217285156,36.217572927474976,9.661357402801514,42.654221534729004,24.79693865776062,43.74328255653381,35.10879158973694,43.98192572593689,44.86213183403015,62.69979929924011,899.8518178462982,30.json,1560178784
9,tpch,3GB,59.0,2299MB,7.0,10.0,14.0,466MB,2825MB,147.65246295928955,44.99781012535095,8.283174991607666,42.128700256347656,54.32333278656006,32.482009172439575,73.18719911575317,25.125264167785645,72.01125502586365,41.16302537918091,13.7314932346344,36.26516771316528,10.065078020095825,42.48135185241699,441.70061588287354,43.91449999809265,35.03853702545166,43.75255751609802,47.86641716957092,66.86962628364563,1323.0395786762238,30.json,1560188043
10,tpch,6GB,15.0,6997MB,1.0,4.0,3.0,372MB,3928MB,162.59240770339966,49.481043100357056,9.03678011894226,43.99610638618469,51.76203942298889,33.49608874320984,85.4683084487915,22.35994267463684,73.62252998352051,45.574378490448,13.345815181732178,38.69279956817627,18.356110334396362,47.87376928329468,27.677475452423096,48.649598360061646,36.22955775260925,47.94962167739868,46.63223838806152,70.25337982177734,973.0499908924103,30.json,1560200984
