,benchmark,conf_effective_cache_size,conf_effective_io_concurrency,conf_maintenance_work_mem,conf_max_parallel_workers,conf_random_page_cost,conf_seq_page_cost,conf_temp_buffers,conf_work_mem,queryTime_1,queryTime_10,queryTime_11,queryTime_12,queryTime_13,queryTime_14,queryTime_15,queryTime_16,queryTime_17_rewritten,queryTime_19,queryTime_2,queryTime_20_rewritten,queryTime_22,queryTime_3,queryTime_4,queryTime_5,queryTime_6,queryTime_7,queryTime_8,queryTime_9,queryTime_Total,scale_factor,timestamp
0,tpch,4GB,1.0,64MB,8.0,4.0,1.0,8MB,4MB,61.134202480316155,18.242239236831665,4.0689241886138925,16.90256118774414,16.773024320602413,14.687095403671265,27.639605283737183,9.762362718582152,29.386325597763058,10.091761827468874,7.5970404148101816,16.40096092224121,4.6734459400177,23.27753496170044,22.474790811538696,21.207863569259644,7.406761169433594,16.605604887008667,13.096924543380736,36.524457216262824,377.9534866809845,10.0,1560091140
1,tpch,4GB,1.0,64MB,8.0,4.0,1.0,8MB,4MB,60.65444326400757,20.13178896903992,4.423682451248169,15.919610738754272,14.882070779800415,14.21877384185791,25.660295963287354,11.046830177307127,29.248234510421753,10.972187519073486,7.7440714836120605,13.580183744430542,6.6558990478515625,25.51074194908142,28.782602548599247,18.836668491363522,7.615766525268555,16.500718593597412,12.594787120819092,34.45561146736145,379.43496918678284,10.0,1560091606
2,tpch,8GB,194.0,2200MB,5.0,4.0,2.0,785MB,3191MB,60.368815660476685,13.930648803710938,3.7774252891540527,10.42663598060608,18.45907020568848,10.719547271728516,22.549011945724487,9.169975042343141,16.518627643585205,10.662737131118773,5.07621955871582,9.518557071685793,4.954670667648315,13.293116807937622,23.686659097671512,10.60114049911499,7.455723762512207,9.786246299743652,16.742428302764893,21.798549890518192,299.4958069324493,10.0,1560091999
3,tpch,3GB,157.0,7178MB,8.0,2.0,10.0,656MB,1030MB,58.7557897567749,13.266067504882812,4.5297160148620605,9.426367998123167,21.921236276626587,10.622408866882324,19.86806273460388,10.055328845977783,15.462416172027588,10.42664098739624,7.124181985855103,7.889362812042236,4.137998104095459,9.787304401397703,164.2176043987274,9.848285675048828,7.389554500579834,11.548746347427368,11.504618406295776,21.26613020896912,429.0478219985962,10.0,1560092497
4,tpch,8GB,77.0,18MB,4.0,10.0,15.0,191MB,3354MB,58.076982259750366,10.723201036453249,3.7671194076538086,9.831116199493408,21.798099756240845,12.18964171409607,16.68181014060974,9.142070055007936,15.9896502494812,9.81462860107422,6.679183006286621,8.333947658538817,4.075792074203491,9.713964939117432,17.401103734970093,10.063541412353516,7.297338724136352,10.484908819198607,11.947933912277222,22.01274824142456,276.02478194236755,10.0,1560092844
5,tpch,8GB,241.0,7833MB,8.0,12.0,12.0,492MB,3690MB,59.306167364120476,11.111584901809692,3.193782091140747,10.120308876037598,18.73153281211853,12.843015432357788,16.810729265213013,9.041409254074095,16.35757064819336,9.911311388015749,4.9049694538116455,8.732175827026367,4.708153009414673,10.17494463920593,19.901710271835327,10.325438976287842,6.9536094665527335,10.331430673599245,16.24802327156067,22.480844736099247,282.18871235847473,10.0,1560093195
6,tpch,7GB,161.0,600MB,6.0,14.0,11.0,286MB,3877MB,59.4717493057251,11.918447017669678,3.5261051654815674,9.949312925338743,22.293431758880615,10.631898164749147,16.427653551101685,7.539124965667725,15.389095544815063,9.795929670333864,5.066981554031372,8.194383382797241,3.940781593322754,13.88889455795288,17.487772226333618,10.317800521850586,7.167830228805543,10.063709020614622,9.194364547729492,22.84655594825745,275.11182165145874,10.0,1560093542
7,tpch,2GB,203.0,5687MB,4.0,8.0,2.0,460MB,3950MB,58.96416687965393,13.647874355316162,3.4564225673675537,12.888465166091919,18.937356472015377,10.459785223007204,15.384299278259276,8.046166181564331,15.807580709457396,10.062700510025023,5.0687687397003165,7.822513103485107,4.149230718612672,16.222182035446167,14.757853507995605,12.95346450805664,7.38929557800293,10.751177310943604,9.993314266204834,21.75036644935608,278.51298356056213,10.0,1560093890
8,tpch,8GB,204.0,6261MB,1.0,2.0,6.0,531MB,3504MB,65.88081383705139,14.467564105987547,4.013805866241455,10.022770881652832,19.9024350643158,13.433319330215454,24.249614715576172,11.655240774154663,15.888753890991213,10.494851350784304,6.733215093612671,8.078450441360474,6.841184616088867,11.136317253112793,158.55940294265747,11.266992807388306,8.099652051925661,12.074281930923462,12.314834833145142,22.06761074066162,447.1811125278473,10.0,1560094409
9,tpch,3GB,59.0,2299MB,7.0,10.0,14.0,466MB,2825MB,60.86570811271668,12.992178678512573,5.173217058181763,10.255534648895264,21.96509289741516,11.069053411483765,20.791667699813843,10.559580087661745,16.496143579483032,10.640700101852415,7.087080717086793,8.551536560058594,4.04000186920166,16.4949471950531,21.591331481933594,10.64729118347168,7.771017551422119,10.595160484313963,9.376049995422363,23.645537853240967,300.60883116722107,10.0,1560094773
